is_primary_school,is_middle_school,distance_to_subway_station,distance_to_bus_station,distance_to_parking_lot,distance_to_coach_station
1,0,88.49,0.51,2.11,20.84
1,0,55.93,0.08,3.96,25.31
0,1,74.15,0.17,4.72,6.75
1,0,73.22,0.25,3.88,6.92
1,0,51.12,0.08,0.08,15.94
0,1,51.12,0.08,0.17,16.20
1,0,52.13,0.08,8.60,20.75
1,0,39.90,0.08,0.08,9.62
0,1,71.03,0.08,1.43,9.45
1,0,70.86,0.08,1.10,9.70
0,1,95.66,0.25,0.34,4.89
1,0,94.82,0.17,0.59,4.05
1,0,88.83,0.08,5.65,2.28
1,0,90.43,0.17,3.71,0.34
1,0,39.31,0.08,5.06,7.42
1,0,102.75,0.17,0.08,10.21
0,1,103.26,0.17,0.51,9.95
1,0,42.01,0.25,0.08,17.72
1,0,43.02,0.34,1.52,14.26
0,1,87.06,0.42,5.40,4.30
1,0,86.98,0.42,5.48,4.39
1,0,88.75,0.76,4.13,4.30
1,0,95.33,0.08,2.02,10.29
1,0,38.22,0.08,2.36,10.12
1,0,88.24,0.34,1.43,7.00
1,0,88.32,0.34,1.43,7.00
1,0,27.42,0.25,1.69,22.86
0,1,27.75,0.00,2.62,21.93
0,1,36.11,0.17,0.76,11.14
1,0,36.02,0.17,0.08,11.56
1,0,27.33,0.08,0.76,27.33
1,0,30.96,0.34,0.42,13.08
1,0,36.11,0.08,2.02,9.95
0,1,27.16,0.25,0.08,26.49
0,1,83.60,0.17,2.19,9.28
1,0,36.27,0.17,0.08,10.21
1,0,84.44,0.08,0.76,9.53
1,0,25.81,0.34,2.36,24.30
0,1,23.71,0.17,0.59,25.31
1,0,81.41,0.17,1.69,11.30
1,0,31.55,0.34,0.34,13.67
1,0,31.55,0.34,0.42,13.67
1,0,29.78,0.25,0.51,16.11
0,1,29.86,0.34,0.67,15.69
0,1,23.96,0.08,1.86,26.07
0,1,86.47,0.17,4.72,13.08
1,0,85.96,0.25,4.64,12.82
1,0,33.91,0.34,0.25,8.10
1,0,28.60,0.17,1.43,14.17
1,0,23.79,0.25,2.87,21.43
1,0,21.34,0.34,2.28,23.62
1,0,20.92,0.25,2.95,22.52
0,1,34.50,0.25,1.10,6.07
0,1,25.05,0.17,0.76,18.22
1,0,25.56,0.59,1.27,18.31
0,1,23.45,0.17,2.95,21.60
0,1,21.34,0.25,0.67,23.79
0,1,27.16,0.08,0.59,14.00
0,1,26.32,0.17,0.08,15.44
1,0,25.90,0.17,0.08,15.86
0,1,25.65,0.17,0.17,16.70
0,1,25.73,0.17,0.17,16.70
0,1,25.73,0.17,0.17,16.70
1,0,20.67,0.17,0.08,23.20
0,1,31.89,0.25,0.17,4.72
1,0,31.55,0.42,0.59,5.15
1,0,37.96,0.93,1.77,1.43
1,0,35.68,0.51,0.76,3.21
1,0,27.67,0.59,1.43,13.08
1,0,26.32,0.17,0.08,14.93
0,1,26.57,0.08,0.08,14.59
0,1,26.57,0.08,0.08,14.59
1,0,25.22,0.25,0.17,16.62
0,1,24.38,0.25,0.51,16.87
1,0,23.96,0.25,0.51,17.63
1,0,38.13,0.51,2.95,0.42
1,0,25.22,0.17,0.59,15.27
0,1,24.97,0.34,0.25,15.61
1,0,23.62,0.59,0.59,17.13
0,1,25.73,0.17,1.77,13.58
1,0,21.68,0.08,0.76,19.15
0,1,21.17,0.17,0.17,19.82
1,0,29.36,0.17,1.18,8.94
1,0,25.98,0.42,1.52,13.08
1,0,16.20,0.08,1.86,17.04
1,0,26.07,0.25,4.13,10.80
1,0,26.07,0.25,4.13,10.80
1,0,27.84,0.25,0.34,5.40
1,0,29.61,0.25,2.45,8.35
1,0,27.25,0.59,1.86,11.14
0,1,22.86,0.34,0.34,22.02
1,0,24.63,0.17,0.00,21.34
1,0,23.96,0.00,0.08,20.58
0,1,23.71,0.51,0.34,16.79
